dwellTimeRatio,SwarmCohesion,TargetKnowledge,TerrainKnowledge
0.0358879483505532,1,1,1
0.0041224036749885,1,2,1
0.0328690511406612,1,1,2
0.00591892130308696,1,2,2
0.00400497194087518,2,1,1
0.00222826988745031,2,2,1
0.0739231125245029,2,1,2
0.0594000608950825,2,2,2
0,1,2,1
0.000495539111983465,1,2,2
0,2,1,2
0,2,2,2
0.00728446726940881,1,1,1
0.0218633451623267,1,2,1
0.0100321492419765,1,1,2
0.0161852242813268,1,2,2
0.0183880122578156,2,1,1
0.0132128314481986,2,2,1
0.00363505263514327,2,1,2
0.0445052683701186,2,2,2
0.0329705255484049,1,1,1
0.144105549444613,1,2,1
0.0293933963981984,1,1,2
0.126542987822007,1,2,2
0.00396151624914568,2,1,1
0.0327251995878531,2,2,1
0.0709633838803483,2,1,2
0.0552626914105179,2,2,2
0.0224303585926271,1,1,1
0.0423864631506332,1,2,1
0.0424618773627874,1,1,2
0.128439736499294,1,2,2
0.0579135828754519,2,1,1
0.0745282456844092,2,2,1
0.039569605802271,2,1,2
0.0350355527711373,2,2,2
0,1,1,1
0.0800339389594142,1,2,1
0.0225292917615863,1,1,2
0.0195560550005821,1,2,2
0.0485400616731436,2,1,1
0,2,2,1
0.00838884858705437,2,1,2
0,2,2,2
0.00456523533351617,1,1,1
0.057862136773711,1,2,1
0.048224276667855,1,1,2
0.0607905489352376,1,2,2
0.0356144167839861,2,1,1
0.02322985907243,2,2,1
0.0691731461069335,2,1,2
0.0384188455265928,2,2,2
0,1,1,1
0.00547419833395607,1,2,1
0,1,1,2
0,1,2,2
0,2,1,1
0,2,2,1
0,2,1,2
0,2,2,2
0.022872501241082,1,1,1
0.0248044731266688,1,2,1
0.0167622596262775,1,1,2
0.0532930162712647,1,2,2
0.0427410750924738,2,1,1
0.0147576293803624,2,2,1
0.0498993912149654,2,1,2
0.0250454670398315,2,2,2
0.00243960642173935,1,1,1
0.00130586868772976,1,2,1
0.0200965929497542,1,1,2
0.00342390437475629,1,2,2
0.00654125593936562,2,1,1
0.0361308942801763,2,2,1
0.0239057195146043,2,1,2
0.00722633638534359,2,2,2
0.00156185993352849,1,1,1
0.0391523653811403,1,2,1
0,1,1,2
0,1,2,2
0,2,1,1
0,2,2,1
0.0102322206470735,2,1,2
0,2,2,2
0.0201527896403059,1,1,1
0.0315669045731398,1,2,1
0.0677607987477854,1,1,2
0.0198367697527104,1,2,2
0.00422804462516843,2,1,1
0.0184975759956958,2,2,1
0.0287068061151236,2,1,2
0.0510472642508101,2,2,2
0.051262936265788,1,1,1
0.0691102392746155,1,2,1
0.0394468077130141,1,1,2
0.043819016602773,1,2,2
0.0583528186377451,2,1,1
0.0376380893588092,2,2,1
0.0560633114324439,2,1,2
0.0367096490463787,2,2,2
0.0247865077253954,1,1,1
0.00135668123286393,1,2,1
0.0665437148142972,1,1,2
0.0428155604810309,1,2,2
0.0609179074112141,2,1,1
0.0308127779378768,2,2,1
0.0961206084080024,2,1,2
0.00259495727630743,2,2,2
0.0497108152099131,1,1,1
0.0767976878542415,1,2,1
0.136033538774905,1,1,2
0.109407275876043,1,2,2
0.0218121952495745,2,1,1
0.0631168306867002,2,2,1
0.072131397728161,2,1,2
0.0957033571147588,2,2,2
0.0227351223080029,1,1,1
0.0289907565509754,1,2,1
0.0430219224428819,1,1,2
0.0614887298238852,1,2,2
0.0435972975895416,2,1,1
0.0069509407452124,2,2,1
0.0198221316324699,2,1,2
0.0480975071810477,2,2,2
0.0222763407474141,1,1,1
0.0333074362966559,1,2,1
0.0177425888971926,1,1,2
0.0901542071399146,1,2,2
0.0420871380934264,2,1,1
0.0360609761371006,2,2,1
0.136113648481746,2,1,2
0.0857005060895377,2,2,2
0.00110280666910833,1,1,1
0.00248004474480557,1,2,1
0.00113970823901272,1,1,2
0.00381016582955177,1,2,2
0,2,1,1
0,2,2,1
0,2,1,2
0.00603316706674912,2,2,2
0,1,1,1
0,1,2,1
0,1,1,2
0,1,2,2
0,2,1,1
0,2,2,1
0,2,1,2
0,2,2,2
0.0149458630807513,1,1,1
0.0350831866303158,1,2,1
0.0144374918915603,1,1,2
0.0256091974111283,1,2,2
0.0311480610409314,2,1,1
0,2,2,1
0.0284363177085586,2,1,2
0.0437935864580516,2,2,2
