,Outer loop #,Inner loop #,Parameter space #,miniBatchSize,feature alias,Testing Accuracy,Training Accuracy
0,0.0,0.0,0.0,256.0,0.0,0.3956611454486847,0.5444319248199463
1,0.0,0.0,1.0,256.0,1.0,0.42975205183029175,0.35583052039146423
2,0.0,0.0,2.0,512.0,0.0,0.39359503984451294,0.4686914086341858
3,0.0,0.0,3.0,512.0,1.0,0.35640496015548706,0.32695913314819336
4,0.0,1.0,0.0,256.0,0.0,0.3698347210884094,0.4454443156719208
5,0.0,1.0,1.0,256.0,1.0,0.35227271914482117,0.3937007784843445
6,0.0,1.0,2.0,512.0,0.0,0.44628098607063293,0.4926884174346924
7,0.0,1.0,3.0,512.0,1.0,0.48037189245224,0.40719911456108093
8,0.0,2.0,0.0,256.0,0.0,0.4948347210884094,0.5170603394508362
9,0.0,2.0,1.0,256.0,1.0,0.34400826692581177,0.30821147561073303
10,0.0,2.0,2.0,512.0,0.0,0.3502066135406494,0.45481815934181213
11,0.0,2.0,3.0,512.0,1.0,0.35743802785873413,0.3217097818851471
12,1.0,0.0,0.0,256.0,0.0,0.4035281240940094,0.4871262311935425
13,1.0,0.0,1.0,256.0,1.0,0.2910694479942322,0.37666112184524536
14,1.0,0.0,2.0,512.0,0.0,0.3098125755786896,0.5058139562606812
15,1.0,0.0,3.0,512.0,1.0,0.3373759686946869,0.37458470463752747
16,1.0,1.0,0.0,256.0,0.0,0.5457552075386047,0.5510797500610352
17,1.0,1.0,1.0,256.0,1.0,0.28224918246269226,0.3214285671710968
18,1.0,1.0,2.0,512.0,0.0,0.28224918246269226,0.5411129593849182
19,1.0,1.0,3.0,512.0,1.0,0.48732084035873413,0.4140365421772003
20,1.0,2.0,0.0,256.0,0.0,0.29217198491096497,0.5024917125701904
21,1.0,2.0,1.0,256.0,1.0,0.32304298877716064,0.4140365421772003
22,1.0,2.0,2.0,512.0,0.0,0.513781726360321,0.5490033030509949
23,1.0,2.0,3.0,512.0,1.0,0.2877618670463562,0.460132896900177
24,2.0,0.0,0.0,256.0,0.0,0.42843690514564514,0.4793770909309387
25,2.0,0.0,1.0,256.0,1.0,0.3502824902534485,0.29629629850387573
26,2.0,0.0,2.0,512.0,0.0,0.4030131697654724,0.4225589334964752
27,2.0,0.0,3.0,512.0,1.0,0.3747645914554596,0.43644779920578003
28,2.0,1.0,0.0,256.0,0.0,0.48399245738983154,0.4680134654045105
29,2.0,1.0,1.0,256.0,1.0,0.3512240946292877,0.3489057123661041
30,2.0,1.0,2.0,512.0,0.0,0.39830508828163147,0.49410775303840637
31,2.0,1.0,3.0,512.0,1.0,0.42937853932380676,0.4015151560306549
32,2.0,2.0,0.0,256.0,0.0,0.3851224184036255,0.4406565725803375
33,2.0,2.0,1.0,256.0,1.0,0.3512240946292877,0.3038720488548279
34,2.0,2.0,2.0,512.0,0.0,0.4340866208076477,0.4722222089767456
35,2.0,2.0,3.0,512.0,1.0,0.39359697699546814,0.38383838534355164
