fracCompleteStops,SwarmCohesion,TargetKnowledge,TerrainKnowledge
0.0102090422946038,1,1,1
0.0149315924716994,1,2,1
0.0148621432043892,1,1,2
0.0288035450516987,1,2,2
0.0485976789168279,2,1,1
0.0136815056601153,2,2,1
0.0334050975762206,2,1,2
0.0369532428355958,2,2,2
0.0151111111111111,1,1,1
0.025350837483024,1,2,1
0.00395368539960463,1,1,2
0.0106045831301804,1,2,2
0.0172029308697037,2,1,1
0.198529411764706,2,2,1
0.0490988191423244,2,1,2
0.0601247872943846,2,2,2
0.0169209850430579,1,1,1
0.00816926721673066,1,2,1
0.0373698630136986,1,1,2
0.13134328358209,1,2,2
0.101135190918473,2,1,1
0.0400421496311907,2,2,1
0.00759493670886076,2,1,2
0.0188470066518847,2,2,2
0.0257656781720953,1,1,1
0.0942726061861773,1,2,1
0.0588235294117647,1,1,2
0.026876866449059,1,2,2
0.135148274185707,2,1,1
0.0768789443488239,2,2,1
0.0336157799694402,2,1,2
0.0254184318355441,2,2,2
0.00876612636453854,1,1,1
0.014482620854974,1,2,1
0.0204697986577181,1,1,2
0.00798666574067644,1,2,2
0.0152788388082506,2,1,1
0.0179863147605083,2,2,1
0.0723488602576809,2,1,2
0.014937106918239,2,2,2
0.00470698987997176,1,1,1
0.0370898716119829,1,2,1
0.00260078023407022,1,1,2
0.0385756676557863,1,2,2
0.0628205128205128,2,1,1
0.0209267563527653,2,2,1
0.041015625,2,1,2
0.00422275006598047,2,2,2
0.025854108956602,1,1,1
0.00735645361612687,1,2,1
0.010477299185099,1,1,2
0.119429590017825,1,2,2
0.0129175637197028,2,1,1
0.0311111111111111,2,2,1
0.115337423312883,2,1,2
0.00718336483931947,2,2,2
0.0129844772039442,1,1,1
0.0130526315789474,1,2,1
0.0048358733880422,1,1,2
0.031434184675835,1,2,2
0.0333333333333333,2,1,1
0.0720588235294118,2,2,1
0.0724070450097847,2,1,2
0.0101361135244715,2,2,2
0.00271612602824771,1,1,1
0.0504504504504504,1,2,1
0.00437580437580438,1,1,2
0.00282030620467365,1,2,2
0.00505757021413967,2,1,1
0.00902364194188775,2,2,1
0.0326678765880218,2,1,2
0.00694112015318334,2,2,2
0.0334654850746269,1,1,1
0.0234468141475692,1,2,1
0.0189749334827055,1,1,2
0.0150235907623541,1,2,2
0.023265504548927,2,1,1
0.0574850299401198,2,2,1
0.0769583142464498,2,1,2
0.0258139534883721,2,2,2
0.0348937806401999,1,1,1
0.0519331960649737,1,2,1
0.0755098863459443,1,1,2
0.177277179236043,1,2,2
0.0676982591876209,2,1,1
0.0207079465469754,2,2,1
0.0350019402405898,2,1,2
0.0116459627329193,2,2,2
0.00440371340157105,1,1,1
0.0169445203607543,1,2,1
0.0479937057435091,1,1,2
0.00670836732843804,1,2,2
0.074468085106383,2,1,1
0.242225859247136,2,2,1
0.00284741995971942,2,1,2
0.0280404844864775,2,2,2
0.0020834780193069,1,1,1
0.0026525198938992,1,2,1
0.00780891134588884,1,1,2
0.00300136425648022,1,2,2
0.021252951798861,2,1,1
0.00169450496247882,2,2,1
0.0114591291061879,2,1,2
0.0139240506329114,2,2,2
0.0572427354162115,1,1,1
0.154471544715447,1,2,1
0.0150788211103496,1,1,2
0.041697147037308,1,2,2
0.0197689345314506,2,1,1
0.0814940577249576,2,2,1
0.0578390351956682,2,1,2
0.0527302554487931,2,2,2
0.00868115841377873,1,1,1
0.00513924578095701,1,2,1
0.0166666666666667,1,1,2
0.0742713004484305,1,2,2
0.108599779492834,2,1,1
0.0307736280487805,2,2,1
0.038683241891798,2,1,2
0.0572261962636294,2,2,2
0.0781998749913188,1,1,1
0.383322346736981,1,2,1
0.0368081116744218,1,1,2
0.0218070699354122,1,2,2
0.0279880547260226,2,1,1
0.0538971807628524,2,2,1
0.0825057295645531,2,1,2
0.0183727034120735,2,2,2
0.00979234669074241,1,1,1
0.0437574316290131,1,2,1
0.0254878811028544,1,1,2
0.0118077031206073,1,2,2
0.0213291423439605,2,1,1
0.132673267326733,2,2,1
0.0472972972972973,2,1,2
0.0201710711094089,2,2,2
0.027278045926576,1,1,1
0.0109069470374374,1,2,1
0.0408695652173913,1,1,2
0.0267938237965486,1,2,2
0.0211064918452191,2,1,1
0.0142729705619982,2,2,1
0.0477651183172656,2,1,2
0.132505175983437,2,2,2
0.00775381633147565,1,1,1
0.00232558139534884,1,2,1
0.00341938792956061,1,1,2
0.0332871012482663,1,2,2
0.00271886895051659,2,1,1
0.0258964143426295,2,2,1
0.00543478260869565,2,1,2
0.0174672489082969,2,2,2
0.0300684191573641,1,1,1
0.0678219300866448,1,2,1
0.0427998216674097,1,1,2
0.0221491742975659,1,2,2
0.126084056037358,2,1,1
0.0487444608567208,2,2,1
0.107378524295141,2,1,2
0.142108023072889,2,2,2
