PupilDIlation,SwarmCohesion,TargetKnowledge,TerrainKnowledge
2.96300700680324,1,1,1
2.72783376604713,1,2,1
2.8040982800537,1,1,2
2.55174543495423,1,2,2
2.6965344049751,2,1,1
2.86922142365266,2,2,1
2.8680840887523,2,1,2
2.59162315312581,2,2,2
3.44272213665544,1,2,1
3.33099070045825,1,2,2
3.3761827227458,2,1,2
3.52801317585167,2,2,2
2.86673739794623,1,1,1
2.84427439186788,1,2,1
2.90710141478203,1,1,2
2.64787153393363,1,2,2
3.01541340503571,2,1,1
2.6682683760605,2,2,1
2.97491204470456,2,1,2
2.96556649947836,2,2,2
3.10379738153543,1,1,1
3.10158920099796,1,2,1
2.69663442148752,1,1,2
3.39829925113974,1,2,2
2.98583726966323,2,1,1
2.98583726966323,2,2,1
4.47998702982594,2,1,2
3.2348721613909,2,2,2
2.48501325276438,1,1,1
2.49125485291445,1,2,1
2.63500698238039,1,1,2
2.88594913945206,1,2,2
2.68182757213862,2,1,1
2.65957649322132,2,2,1
2.94712367288677,2,1,2
2.60120856205431,2,2,2
2.86978168549634,1,1,1
3.55085969756867,1,2,1
3.33801180738527,1,1,2
3.62050901853635,1,2,2
3.46853451415713,2,1,1
3.20145997827528,2,2,1
3.40041584376582,2,1,2
3.39045039821263,2,2,2
3.96112289751856,1,1,1
3.60027793249898,1,2,1
3.8215807057009,1,1,2
3.38580558219271,1,2,2
3.222120272291,2,1,1
4.34416190117315,2,2,1
4.18709953699991,2,1,2
4.00360257466881,2,2,2
2.97425229131264,1,1,1
3.6459977813447,1,2,1
2.80916929957183,1,1,2
3.18213281313162,1,2,2
3.53101283412354,2,1,1
2.91852290890901,2,2,1
2.88703948073332,2,1,2
3.35704731625721,2,2,2
3.13857489308525,1,1,1
3.56589250313999,1,2,1
3.00013391302793,1,1,2
3.16703269053767,1,2,2
3.14633774757107,2,1,1
2.83447726916297,2,2,1
3.00628716765301,2,1,2
3.12547674016938,2,2,2
4.13101575423748,1,1,1
3.78263809795201,1,2,1
3.4052783860624,1,1,2
4.00083891287132,1,2,2
3.60791010465579,2,1,1
3.45430592681038,2,2,1
3.35949086165913,2,1,2
3.39439941274847,2,2,2
2.70166536811742,1,1,1
2.60347213544475,1,2,1
2.6777800846903,1,1,2
2.52004330860089,1,2,2
2.04414599296357,2,1,1
2.68237780535437,2,2,1
2.59515062639419,2,1,2
2.3640078515643,2,2,2
3.90401470154194,1,1,1
3.87051995579574,1,2,1
3.53275093680842,1,1,2
3.59259686460221,1,2,2
4.38727037325191,2,1,1
3.74250527034293,2,2,1
4.00918159103965,2,1,2
3.7714659507203,2,2,2
3.02074986966837,1,1,1
3.31409978968953,1,2,1
3.27971872559127,1,1,2
3.28820413915028,1,2,2
3.21673287754667,2,1,1
2.92319014670334,2,2,1
2.94663972509755,2,1,2
3.52579178578675,2,2,2
3.77445689622347,1,1,1
3.65423106124164,1,2,1
3.65680226618915,1,1,2
3.78858475677748,1,2,2
3.58021674357912,2,1,1
3.75757028365476,2,2,1
3.32802060770254,2,1,2
3.8079093123726,2,2,2
3.58102141983494,1,1,1
3.59380785465329,1,2,1
3.22319408959514,1,1,2
3.70813016968993,1,2,2
3.54670823725706,2,1,1
3.35762618233053,2,2,1
3.78557970257357,2,1,2
3.37577609391508,2,2,2
2.23825307578336,1,1,1
2.22161988370896,1,2,1
2.31365206037365,1,1,2
2.44695769743212,1,2,2
2.34950177425995,2,1,1
2.40374630963312,2,2,1
2.24805933541906,2,1,2
2.32080583036323,2,2,2
3.44842302287627,1,1,1
3.44355848840386,1,2,1
3.90813884687251,1,1,2
3.44842302287627,1,2,2
3.42306083453046,2,1,1
3.5740365527989,2,2,1
3.40150416062652,2,1,2
3.42590888236973,2,2,2
3.66263808320173,1,1,1
3.61144173395563,1,2,1
3.57102807830042,1,1,2
3.58381343975994,1,2,2
4.31161312501196,2,1,1
3.57459909195343,2,2,1
3.78330372846099,2,1,2
4.50008202802196,2,2,2
3.07068858847099,1,1,1
3.08050813539904,1,2,1
2.9091835444955,1,1,2
2.97135759147709,1,2,2
3.07478825349966,2,1,1
2.97289417100553,2,2,1
3.10484127903877,2,1,2
2.9212804550734,2,2,2
3.48024495813672,1,1,1
3.91565182008306,1,2,1
3.58605444386143,1,1,2
3.97161155932764,1,2,2
3.7091605166014,2,1,1
3.36261298364251,2,2,1
3.85604707846396,2,1,2
3.64423969065657,2,2,2
