avgTurnRate,SwarmCohesion,TargetKnowledge,TerrainKnowledge
4.85897970832097,1,1,1
3.78035929573935,1,2,1
3.82432754763282,1,1,2
1.26693866169722,1,2,2
3.17342804014193,2,1,1
5.65218643339883,2,2,1
4.89877995574217,2,1,2
2.23311465791703,2,2,2
12.0499675615919,1,1,1
5.24601141361107,1,2,1
8.54933854254121,1,1,2
7.0102382098498,1,2,2
8.65415652173334,2,1,1
1.57420211952181,2,2,1
6.96568213662451,2,1,2
4.85443236129348,2,2,2
8.40320788224936,1,1,1
6.53867068417378,1,2,1
5.7988800118742,1,1,2
2.14089237609386,1,2,2
3.29967715838469,2,1,1
1.52633189313541,2,2,1
7.21626929963251,2,1,2
5.44531034397371,2,2,2
6.20084923548948,1,1,1
3.81435534767622,1,2,1
5.06375429910581,1,1,2
6.73797307526625,1,2,2
7.04222532736548,2,1,1
3.54844555527459,2,2,1
6.29395836198327,2,1,2
6.35606837991687,2,2,2
3.92338010175623,1,1,1
6.15407612993897,1,2,1
3.22705169148774,1,1,2
5.34091327376928,1,2,2
5.95925490567488,2,1,1
5.43231317872366,2,2,1
2.57102637288057,2,1,2
4.94631844429362,2,2,2
5.3375862189435,1,1,1
4.87870139029211,1,2,1
4.28154810097843,1,1,2
1.87504202041619,1,2,2
5.01176809315783,2,1,1
2.29966144563553,2,2,1
2.69056660897333,2,1,2
6.21667821785683,2,2,2
10.8174253554781,1,1,1
5.36211260613973,1,2,1
7.23443820696323,1,1,2
2.91193829197232,1,2,2
7.46398384967589,2,1,1
1.94855560375906,2,2,1
2.56088474161145,2,1,2
8.35252367144949,2,2,2
4.51342673687915,1,1,1
4.7499253205718,1,2,1
5.55093841276074,1,1,2
2.68776042990388,1,2,2
5.24407089992305,2,1,1
7.28133783015139,2,2,1
3.70867026482094,2,1,2
5.76016543606798,2,2,2
9.52544587753984,1,1,1
6.54840551488599,1,2,1
7.99194037283315,1,1,2
9.16909890434879,1,2,2
10.6143906624543,2,1,1
9.48177020203555,2,2,1
4.27153714278174,2,1,2
7.3094309340761,2,2,2
4.22933171332456,1,1,1
5.82103286842133,1,2,1
6.51819565700543,1,1,2
6.00649182298356,1,2,2
5.94737877894705,2,1,1
1.23666962706169,2,2,1
4.46924790894151,2,1,2
4.53998802542463,2,2,2
7.46487477184629,1,1,1
5.54881231039452,1,2,1
5.27530707983782,1,1,2
2.57768187418988,1,2,2
5.06753582627418,2,1,1
7.00496755871242,2,2,1
7.0342429015122,2,1,2
8.71861098334143,2,2,2
9.46950371812344,1,1,1
7.91213569640308,1,2,1
5.27011486962856,1,1,2
10.0238570758706,1,2,2
12.5818551621459,2,1,1
2.29227197217875,2,2,1
6.90520848902634,2,1,2
9.28244311902201,2,2,2
4.91852168664739,1,1,1
3.12303984163344,1,2,1
3.00777250288079,1,1,2
4.05051582996689,1,2,2
5.37029160693384,2,1,1
6.72187223112319,2,2,1
4.87768968955226,2,1,2
4.09546180757149,2,2,2
5.68448811317646,1,1,1
2.89599140429383,1,2,1
5.23041609394555,1,1,2
6.27473751255764,1,2,2
5.40900086391795,2,1,1
5.45427982779772,2,2,1
4.85768438352506,2,1,2
5.98719329870177,2,2,2
4.60119699372848,1,1,1
4.61374554429828,1,2,1
4.18856878911899,1,1,2
4.31876549015135,1,2,2
2.37340465207522,2,1,1
6.06903533249878,2,2,1
5.56872129504118,2,1,2
6.28493336325768,2,2,2
4.24451691742747,1,1,1
3.14734163025869,1,2,1
3.8238138540401,1,1,2
3.82583397334494,1,2,2
4.81804427423708,2,1,1
1.18666250460627,2,2,1
3.18781382382508,2,1,2
2.59521452771755,2,2,2
5.73001449853442,1,1,1
4.80782596259724,1,2,1
5.36089896739746,1,1,2
5.60121904940093,1,2,2
5.88141545825359,2,1,1
5.95843759576126,2,2,1
2.02643306130907,2,1,2
6.26074632099299,2,2,2
3.98512858213181,1,1,1
6.67666718605688,1,2,1
3.56695239883189,1,1,2
4.70391933483451,1,2,2
3.61199796854634,2,1,1
6.08992373540279,2,2,1
5.96596251411462,2,1,2
2.05319860053494,2,2,2
5.67476332346793,1,1,1
4.37957760271899,1,2,1
4.93497822936744,1,1,2
5.21152091983105,1,2,2
5.97912707313925,2,1,1
1.06736481807882,2,2,1
4.99816341481364,2,1,2
4.5328830592735,2,2,2
7.70438795100945,1,1,1
4.06265098722397,1,2,1
7.42001332679078,1,1,2
7.56106354437122,1,2,2
5.43103467749841,2,1,1
1.55651415248936,2,2,1
5.71644309546313,2,1,2
6.07162196082678,2,2,2
